experimento,inject_aco_seed,generacion,mejor_costo
seed_aco_false,False,70,9545.972995
seed_aco_false,False,71,9530.447994
seed_aco_false,False,72,9438.687328
seed_aco_false,False,73,9420.073994
seed_aco_false,False,74,9420.073994
seed_aco_false,False,75,9407.644993
seed_aco_false,False,76,9407.644993
seed_aco_false,False,77,9407.644993
seed_aco_false,False,78,9393.105993
seed_aco_false,False,79,9380.676992
seed_aco_false,False,80,9372.751325
seed_aco_false,False,81,9283.392992
seed_aco_false,False,82,9253.35466
seed_aco_false,False,83,9253.35466
seed_aco_false,False,84,9248.996993
seed_aco_false,False,85,9129.600328
seed_aco_false,False,86,9104.766995
seed_aco_false,False,87,9104.766995
seed_aco_false,False,88,9104.766995
seed_aco_false,False,89,9104.766995
seed_aco_false,False,90,9104.766995
seed_aco_false,False,91,9057.133662
seed_aco_false,False,92,9057.133662
seed_aco_false,False,93,9057.133662
seed_aco_false,False,94,8954.677662
seed_aco_false,False,95,8954.677662
seed_aco_false,False,96,8954.677662
seed_aco_false,False,97,8950.456997
seed_aco_false,False,98,8950.456997
seed_aco_false,False,99,8904.161664
seed_aco_false,False,100,8904.161664
seed_aco_false,False,101,8904.161664
seed_aco_false,False,102,8833.148997
seed_aco_false,False,103,8785.842996
seed_aco_false,False,104,8785.842996
seed_aco_false,False,105,8747.886662
seed_aco_false,False,106,8747.886662
seed_aco_false,False,107,8747.886662
seed_aco_false,False,108,8719.625329
seed_aco_false,False,109,8719.625329
seed_aco_false,False,110,8719.625329
seed_aco_false,False,111,8686.580663
seed_aco_false,False,112,8686.580663
seed_aco_false,False,113,8685.289661
seed_aco_false,False,114,8685.289661
seed_aco_false,False,115,8681.784663
seed_aco_false,False,116,8663.538329
seed_aco_false,False,117,8637.202661
seed_aco_false,False,118,8637.202661
seed_aco_false,False,119,8635.380995
seed_aco_false,False,120,8630.493663
seed_aco_false,False,121,8630.493663
seed_aco_false,False,122,8615.451329
seed_aco_false,False,123,8615.451329
seed_aco_false,False,124,8582.406663
seed_aco_false,False,125,8575.08833
seed_aco_false,False,126,8568.036997
seed_aco_false,False,127,8563.794996
seed_aco_false,False,128,8534.992331
seed_aco_false,False,129,8534.992331
seed_aco_false,False,130,8534.992331
seed_aco_false,False,131,8534.992331
seed_aco_false,False,132,8534.992331
seed_aco_false,False,133,8491.51933
seed_aco_false,False,134,8491.51933
seed_aco_false,False,135,8484.355665
seed_aco_false,False,136,8437.637995
seed_aco_false,False,137,8437.637995
seed_aco_false,False,138,8387.001329
seed_aco_false,False,139,8353.791329
seed_aco_false,False,140,8299.942331
seed_aco_false,False,141,8299.942331
seed_aco_false,False,142,8299.942331
seed_aco_false,False,143,8299.942331
seed_aco_false,False,144,8299.942331
seed_aco_false,False,145,8279.325664
seed_aco_false,False,146,8279.325664
seed_aco_false,False,147,8271.14633
seed_aco_false,False,148,8271.14633
seed_aco_false,False,149,8248.943664
seed_aco_false,False,150,8240.76433
seed_aco_false,False,151,8235.35033
seed_aco_false,False,152,8191.747663
seed_aco_false,False,153,8191.747663
seed_aco_false,False,154,8191.747663
seed_aco_false,False,155,8161.40033
seed_aco_false,False,156,8161.40033
seed_aco_false,False,157,8161.40033
seed_aco_false,False,158,8161.40033
seed_aco_false,False,159,8100.895998
seed_aco_false,False,160,8100.895998
seed_aco_false,False,161,8070.548665
seed_aco_false,False,162,8070.548665
seed_aco_false,False,163,8070.548665
seed_aco_false,False,164,8070.548665
seed_aco_false,False,165,8070.548665
seed_aco_false,False,166,8070.548665
seed_aco_false,False,167,8025.388998
seed_aco_false,False,168,8025.388998
seed_aco_false,False,169,8025.388998
seed_aco_false,False,170,8025.388998
seed_aco_false,False,171,7981.816997
seed_aco_false,False,172,7912.606333
seed_aco_false,False,173,7912.606333
seed_aco_false,False,174,7912.606333
seed_aco_false,False,175,7869.034332
seed_aco_false,False,176,7869.034332
seed_aco_false,False,177,7869.034332
seed_aco_false,False,178,7844.236664
seed_aco_false,False,179,7844.236664
seed_aco_false,False,180,7844.236664
seed_aco_false,False,181,7844.236664
seed_aco_false,False,182,7844.236664
seed_aco_false,False,183,7844.236664
seed_aco_false,False,184,7844.236664
seed_aco_false,False,185,7844.236664
seed_aco_false,False,186,7844.236664
seed_aco_false,False,187,7844.236664
seed_aco_false,False,188,7844.236664
seed_aco_false,False,189,7844.236664
seed_aco_false,False,190,7844.236664
seed_aco_false,False,191,7844.236664
seed_aco_false,False,192,7832.302665
seed_aco_false,False,193,7832.302665
seed_aco_false,False,194,7832.302665
seed_aco_false,False,195,7832.302665
seed_aco_false,False,196,7787.260331
seed_aco_false,False,197,7785.332996
seed_aco_false,False,198,7785.332996
seed_aco_false,False,199,7785.332996
seed_aco_false,False,200,7785.332996
