corrida,dimension,posicion_inicial,posicion_final,valor_final,iteraciones,evaluaciones
52,2,"[0.16644145811499644, 0.5629128765366542]","[0.454981261286077, 0.2042876278639745]",0.29778543977964916,1000,1002
53,2,"[0.9260701029280218, 1.949090117478542]","[1.3206123594246164, 1.7450788275111744]",0.10290503196136584,1000,1002
54,2,"[0.06676622664169596, -0.7251702868326566]","[0.17858627159910154, 0.029347319265262833]",0.6753685909632504,1000,1002
55,2,"[1.2090826537726103, -0.938671098830544]","[0.2890728889573139, 0.08048706926995645]",0.5063635753331106,1000,1002
56,2,"[-0.2499730607897146, -1.7266426620220787]","[0.15584068707178264, 0.02196189457830172]",0.7131452408399301,1000,1002
57,2,"[-1.9441633549702861, 1.8950079065207812]","[-1.3735623059605704, 1.8943022850764084]",5.639617996278807,1000,1002
58,2,"[1.3761745736179951, 0.802710348159787]","[0.9847038381788792, 0.9695798743482287]",0.00023435417628175952,1000,1002
59,2,"[-0.3729287396791505, -1.3381864649898159]","[0.1447874608435419, 0.01876145830876552]",0.7318733457347368,1000,1002
60,2,"[-1.4072338732192315, -1.0230050891178175]","[0.0335203117924681, 0.0006603473074759789]",0.9341044490706519,1000,1002
61,2,"[0.20163241863626924, 0.8789848993794553]","[0.6207927796600596, 0.38352791720116547]",0.14414249976194127,1000,1002
62,2,"[0.6561684550358273, -0.901390758109418]","[0.24181411325617283, 0.05552233510244837]",0.5757171100146843,1000,1002
63,2,"[1.863128189596443, 0.9744257707858677]","[1.1042528608979256, 1.219766223422581]",0.010884013069391121,1000,1002
64,2,"[0.22263419908669713, 0.4576081765759068]","[0.469217531522687, 0.21750947813790242]",0.28243525728197,1000,1002
65,2,"[-0.32931814429577244, -1.033293867003259]","[0.13439266029236704, 0.01598351255301356]",0.7497078228358408,1000,1002
66,2,"[-0.5899359082444326, 1.056137668462056]","[-0.816790946848735, 0.675237202971378]",3.3072737534835,1000,1002
67,2,"[-1.98904427057252, -1.5725664644836712]","[0.10521793717892475, 0.009386420206436359]",0.8009186582939927,1000,1002
68,2,"[-1.8595731782789007, -1.8811748257014984]","[0.13316928883282794, 0.01567135109511772]",0.7518209584140914,1000,1002
69,2,"[1.4559665521090857, 0.8341825920205772]","[1.0077114708030193, 1.0154995760643135]",5.949625485687293e-05,101,103
70,2,"[-0.10578399605831601, -1.647271277973498]","[0.15893650259268297, 0.022903836672345683]",0.7079433398728499,1000,1002
71,2,"[-0.034341375521454776, -0.10865962688280306]","[0.15278771852559597, 0.02105251428922178]",0.7182937803988956,1000,1002
72,2,"[-1.3385651408485777, -0.27094364472126253]","[-0.3086733468518687, 0.10121221952999146]",1.7161459592364627,1000,1002
73,2,"[-0.4157246079083583, 0.4745220016218785]","[-0.4089095583594734, 0.1741506017588417]",1.9898474667940846,1000,1002
74,2,"[0.5533435939538691, -1.8624347759737057]","[0.1702422750522694, 0.026513094128275013]",0.6891076451690752,1000,1002
75,2,"[-0.5135867304899739, 0.5155222147655123]","[-0.49664970971705635, 0.2541621108594469]",2.2455871187807266,1000,1002
76,2,"[0.012846115144039327, 1.4601823895073682]","[0.3606093498247274, 0.12699977129978768]",0.4097441573599809,1000,1002
77,2,"[0.6500091151111986, -1.380620586674464]","[0.19240090779368313, 0.0343579372774777]",0.6529239452619602,1000,1002
78,2,"[-1.7589504106478393, 0.5833493635330687]","[-0.848979977901606, 0.7288516649998774]",3.42526313484382,1000,1002
79,2,"[-1.939409672021517, 0.35133678089610587]","[-0.7594465059945797, 0.584840409505001]",3.1021829327412878,1000,1002
80,2,"[1.8031830688766264, 0.30914223257960005]","[0.8379200457494911, 0.7013962601002107]",0.0263208544723723,1000,1002
81,2,"[-0.4580559822580863, 0.5869085427398786]","[-0.5043898672490015, 0.26194762651986964]",2.2688717533212786,1000,1002
82,2,"[-0.17099616054674782, 0.1868463690380695]","[-0.012724149178150419, 0.0006284520132480017]",1.0256319690360591,1000,1002
83,2,"[1.808239856748647, -0.4665235955680287]","[0.5068072804241186, 0.25438172946237775]",0.2438500826739604,1000,1002
84,2,"[1.8890365494227526, 1.6603162294520373]","[1.341999253095087, 1.802081025235367]",0.11708871191548283,1000,1002
85,2,"[-1.2460395119030419, -1.7638961116153222]","[0.13671770827969157, 0.016585358321625904]",0.7456999961028984,1000,1002
86,2,"[-1.6352133063580605, -1.9733634021312523]","[0.14026562956610278, 0.01752541333230291]",0.7396050222060478,1000,1002
87,2,"[-1.6611616327437173, 0.7495957439133978]","[-0.912099294283009, 0.8399843017889779]",3.6626187480667123,1000,1002
88,2,"[-1.756411295906902, -0.7414758183167538]","[-0.1125490917542874, 0.015258208010558189]",1.2384367630032183,1000,1002
89,2,"[1.4126092737308857, -1.9526781512260574]","[0.18041321624964163, 0.029987198190490387]",0.6723787423660968,1000,1002
90,2,"[1.2880629046842809, -0.8935228425281538]","[0.3070071327992698, 0.09116395110557843]",0.4811935708268948,1000,1002
91,2,"[-1.563996866061696, 0.805835429331561]","[-0.9241689836817564, 0.862140705588611]",3.708910384591254,1000,1002
92,2,"[0.5281499004104049, 1.546125367406809]","[1.08358160891774, 1.1744671666283213]",0.006996001784691171,1000,1002
93,2,"[0.9628509954207161, 1.2430578908563397]","[1.084164664135396, 1.1757331891657423]",0.007093941585100305,1000,1002
94,2,"[-0.8927863907479288, -1.3212076286782555]","[0.11805339669353086, 0.012070997168752023]",0.7781778601443938,1000,1002
95,2,"[1.0265180227209556, 1.2567950920387134]","[1.1009464408427463, 1.2124632324190883]",0.01020463659952389,1000,1002
96,2,"[2.009109061634758, -0.35791799537079716]","[0.5725086568565989, 0.32564375363204795]",0.18319931026518574,1000,1002
97,2,"[-0.5242139205927601, 1.1321874871992192]","[-0.8241871415042223, 0.6873735787283489]",3.334202136937304,1000,1002
98,2,"[-0.6520686991236389, 1.7643820056722013]","[-1.1350725523366945, 1.2962657195366598]",4.5647379735835845,1000,1002
99,2,"[1.4680586315489763, -0.29084046387192486]","[0.5398243051916178, 0.28911087749511494]",0.2122903954990496,1000,1002
100,2,"[1.0275678936739734, 1.0426076122508587]","[1.0214512171665504, 1.0434473272439644]",0.0004608727740607292,1000,1002
101,2,"[-1.62560463324802, 1.648856705759505]","[-1.2608244945555125, 1.5974252290472601]",5.117328721804486,1000,1002
102,2,"[0.02151371754642284, 1.3371697811773098]","[0.38892245646667406, 0.14829208389957488]",0.3742970187958513,1000,1002
103,2,"[-0.7370768341786142, 1.6200631439204374]","[-1.10408744682836, 1.2269154771742796]",4.433435079329869,1000,1002
104,2,"[-0.453829923904868, -2.003608979536698]","[0.15470430405870375, 0.021621136956543725]",0.7150594796477208,1000,1002
105,2,"[1.6604445754133041, -1.674089771883997]","[0.20209294211732165, 0.03810993623078739]",0.6374018483602382,1000,1002
106,2,"[-0.7400913404296607, 1.8434538170400971]","[-1.188474088179173, 1.4202926455581928]",4.795537183140139,1000,1002
107,2,"[1.8456868738562298, 0.3008015897529801]","[0.8389349838416511, 0.7031030437208166]",0.02599218816102246,1000,1002
108,2,"[0.5400052210474979, -0.2111671419768022]","[0.3847843096481806, 0.1450784444302253]",0.3793786959127961,1000,1002
109,2,"[-0.8470086791247278, -0.7017900221648243]","[0.011653696662540706, 0.00010216795581625545]",0.976828528490424,1000,1002
110,2,"[0.7066355960915494, 1.0337260725767372]","[0.9454349499258653, 0.8936216325403561]",0.002982434767090878,1000,1002
111,2,"[1.1943077631010754, 1.1862759128864928]","[1.1027852947240722, 1.216522072381368]",0.010579767880482134,1000,1002
112,2,"[-1.6744198019125642, -0.022854431938226227]","[-0.5220388945892053, 0.2801419351867485]",2.322404764806028,1000,1002
113,2,"[-1.812239318971825, 0.2028703019980207]","[-0.6674728501474444, 0.4535238995865738]",2.786871937739283,1000,1002
114,2,"[-0.23949106637464768, 1.588036332577996]","[-0.8480390621552826, 0.727255146633054]",3.4217849290865745,1000,1002
115,2,"[-0.6106521085866856, -1.5684935007125265]","[0.14351353246728876, 0.018408926642791996]",0.7340474566695467,1000,1002
116,2,"[-1.4623060703115844, 1.0711475475147663]","[-1.022840195055038, 1.0541825400667553]",4.098251253565568,1000,1002
117,2,"[0.48422118734340547, -1.6338015186010513]","[0.17492221571677272, 0.02808491301260705]",0.6813848009469775,1000,1002
118,2,"[-1.7034985221529706, 0.8231695624565556]","[-0.9495387861473286, 0.9096603994153618]",3.807160000694381,1000,1002
119,2,"[-1.7499627259322634, 1.3183388028532992]","[-1.153866689408662, 1.339265548041787]",4.645315292394611,1000,1002
120,2,"[0.8447681624330086, -1.7147953944907786]","[0.18087801583216684, 0.030151099537830996]",0.6716191358830955,1000,1002
121,2,"[-1.7005047231070538, 1.9932757135408146]","[-1.384498378947806, 1.9244532834224437]",5.69163518351944,1000,1002
122,2,"[-0.5149868205829311, -0.5298497656140149]","[0.03346313761310835, 0.0006576127816446967]",0.934214866352414,1000,1002
123,2,"[1.2812270274867306, 1.8319301729642854]","[1.335868522431273, 1.7856474887862765]",0.11292927663674797,1000,1002
124,2,"[1.990660357418479, 1.0378370468206248]","[1.13847898438543, 1.2966443572654516]",0.019202434973158652,1000,1002
125,2,"[-0.506840737665369, -1.7059810644022528]","[0.14986892842512842, 0.020201226295362033]",0.723233359059386,1000,1002
126,2,"[1.135193767638781, 0.23922380691785738]","[0.7145697901054905, 0.5092675678848928]",0.08165061307310034,1000,1002
127,2,"[-0.31038665012438504, 1.6644275613480386]","[-0.9412358387178937, 0.8939668327738249]",3.7748638432231987,1000,1002
128,2,"[-1.5925351124740041, -0.030207572824640927]","[-0.5040769184651389, 0.26163055261139995]",2.267928032978067,1000,1002
129,2,"[-2.0014954710326514, -0.12836601039205875]","[-0.5081830570815173, 0.2658061728816423]",2.280325679053314,1000,1002
130,2,"[-1.8173817828071943, -1.5613218149659773]","[0.10842364105649363, 0.010024863039318193]",0.7952079786182944,1000,1002
131,2,"[-1.5666124932009784, 0.6111653974673965]","[-0.836307906002252, 0.7074983079052471]",3.378567320243504,1000,1002
132,2,"[1.007799825471174, 0.34147846183796604]","[0.73341029745147, 0.5366484661392877]",0.07122437515875653,1000,1002
133,2,"[1.8930587585517236, -0.5125301062709082]","[0.4963968090345389, 0.243885421434793]",0.2542534186355751,1000,1002
134,2,"[-0.8777232945894984, 1.5097820290640294]","[-1.0959195879504602, 1.2089539771085631]",4.399142428905679,1000,1002
135,2,"[-1.132151445424322, 1.897359521548744]","[-1.2844289061945067, 1.6574797049692929]",5.224578494701369,1000,1002
136,2,"[-1.9982152716705124, 1.9246236741944895]","[-1.3874958209349482, 1.9327590678535882]",5.705934226167615,1000,1002
137,2,"[-1.8712170006504403, 1.6021221937072991]","[-1.2682744397058447, 1.616259075833596]",5.151058179080534,1000,1002
138,2,"[0.11346374281748428, 2.019183804904654]","[0.9663912732830414, 0.9337748618531956]",0.001131429752430854,1000,1002
139,2,"[-1.7457292708438064, 0.22058714890780973]","[-0.6676523280115433, 0.4537637743392117]",2.7874709180229287,1000,1002
140,2,"[1.9222631858958295, 0.09460876972092969]","[0.7597284383977886, 0.5760827789925542]",0.057852420004729295,1000,1002
141,2,"[0.5300168218020351, 0.8017866300809922]","[0.7926998070758882, 0.6274367350724587]",0.04306102621767484,1000,1002
142,2,"[-0.18619979871120096, 0.5224778960243239]","[-0.19098161375436348, 0.04060555880369729]",1.4201442012927032,1000,1002
143,2,"[0.3453514216370186, 1.643143210971091]","[1.039244070842418, 1.080181612275253]",0.0015424494391549587,1000,1002
144,2,"[-1.8618516261213887, -0.8971747754302246]","[-0.052977470150417046, 0.004128341462519593]",1.1089362494307689,1000,1002
145,2,"[1.8448854387775846, 1.5985204588171933]","[1.318295083837134, 1.7389574655654385]",0.10142317633549396,1000,1002
146,2,"[-0.1816299405897197, 0.49206312059509427]","[-0.16680455948227496, 0.03150445066867911]",1.362787627625169,1000,1002
147,2,"[-0.9118466745092806, -1.2774557297714737]","[0.11289845256298044, 0.010951725384147872]",0.787271119348651,1000,1002
148,2,"[-0.14869133336583307, -0.6006692740052877]","[0.1347496689261321, 0.01607519545228351]",0.7490917235168282,1000,1002
149,2,"[0.34265543414117206, -1.729598926991422]","[0.16899237898448918, 0.02610100678795979]",0.691177556197362,1000,1002
150,2,"[1.943121132200618, 1.9915192093884535]","[1.4499713611086016, 2.1038038216426633]",0.2026665676582546,1000,1002
151,2,"[0.811670380624876, 0.14785071654551718]","[0.6044958325894115, 0.36346915337306995]",0.15680226070839554,1000,1002
152,2,"[-0.7801748836912015, 1.285304400719662]","[-0.9813882994922288, 0.9711367748424966]",3.932321661094417,1000,1002
153,2,"[0.7566588827806897, -1.3819210164433253]","[0.19704941563652634, 0.036133132174734114]",0.6454561267162774,1000,1002
154,2,"[1.6831577476867787, 1.3211125470133003]","[1.2103693683312622, 1.4657364941802762]",0.044310399735382935,1000,1002
155,2,"[1.8423804448437209, 0.9245471063587223]","[1.0839530579759555, 1.1752736376756532]",0.0070583179487584595,1000,1002
156,2,"[0.46454864255299544, -0.33487652335362506]","[0.32531720719601454, 0.10274486009011914]",0.45614947296205544,1000,1002
157,2,"[1.7724558678180382, 1.4993976913936726]","[1.279286206143972, 1.637520256897369]",0.07809047714360401,1000,1002
158,2,"[-1.8627843272450482, -1.940000872459256]","[0.13620018325476713, 0.01645042266058189]",0.7465911516579314,1000,1002
159,2,"[-0.5060060492675089, 1.2720264428823875]","[-0.8798798939117582, 0.7822630903912599]",3.5404681102925197,1000,1002
160,2,"[1.9958830256740123, -1.4318924140399485]","[0.23906661193120574, 0.054212735304128054]",0.5798840455451053,1000,1002
161,2,"[0.3855594100823456, -0.48787105123933583]","[0.2693995769999152, 0.06953519760938258]",0.5347017063380651,1000,1002
162,2,"[1.9247693734486147, 1.4013191091638628]","[1.2595724988648578, 1.587413153870308]",0.06745714094176171,1000,1002
163,2,"[1.3857943744968209, -0.12823281747980175]","[0.597491105637614, 0.35501080201522256]",0.16240736080652746,1000,1002
164,2,"[-0.3488993184249234, -0.9281246333718274]","[0.12540099854472642, 0.013761764084268805]",0.7653090040460341,1000,1002
165,2,"[-1.8170859657178027, 1.493902853140698]","[-1.224969193390434, 1.5083337755887731]",4.956547367639838,1000,1002
