experimento,evaporation_rate,hormigas,iteracion,mejor_costo
evap_055,0.55,40,27,4721.023999
evap_055,0.55,40,28,4721.023999
evap_055,0.55,40,29,4721.023999
evap_055,0.55,40,30,4721.023999
evap_055,0.55,40,31,4721.023999
evap_055,0.55,40,32,4721.023999
evap_055,0.55,40,33,4721.023999
evap_055,0.55,40,34,4721.023999
evap_055,0.55,40,35,4721.023999
evap_055,0.55,40,36,4721.023999
evap_055,0.55,40,37,4721.023999
evap_055,0.55,40,38,4721.023999
evap_055,0.55,40,39,4721.023999
evap_055,0.55,40,40,4721.023999
evap_055,0.55,40,41,4721.023999
evap_055,0.55,40,42,4721.023999
evap_055,0.55,40,43,4721.023999
evap_055,0.55,40,44,4721.023999
evap_055,0.55,40,45,4721.023999
evap_055,0.55,40,46,4721.023999
evap_055,0.55,40,47,4721.023999
evap_055,0.55,40,48,4721.023999
evap_055,0.55,40,49,4721.023999
evap_055,0.55,40,50,4721.023999
evap_055,0.55,40,51,4721.023999
evap_055,0.55,40,52,4721.023999
evap_055,0.55,40,53,4721.023999
evap_055,0.55,40,54,4721.023999
evap_055,0.55,40,55,4721.023999
evap_055,0.55,40,56,4721.023999
evap_055,0.55,40,57,4721.023999
evap_055,0.55,40,58,4721.023999
evap_055,0.55,40,59,4721.023999
evap_055,0.55,40,60,4721.023999
evap_055,0.55,40,61,4721.023999
evap_055,0.55,40,62,4721.023999
evap_055,0.55,40,63,4721.023999
evap_055,0.55,40,64,4721.023999
evap_055,0.55,40,65,4721.023999
evap_055,0.55,40,66,4721.023999
evap_055,0.55,40,67,4721.023999
evap_055,0.55,40,68,4721.023999
evap_055,0.55,40,69,4721.023999
evap_055,0.55,40,70,4721.023999
evap_055,0.55,40,71,4721.023999
evap_055,0.55,40,72,4721.023999
evap_055,0.55,40,73,4721.023999
evap_055,0.55,40,74,4721.023999
evap_055,0.55,40,75,4721.023999
evap_055,0.55,40,76,4721.023999
evap_055,0.55,40,77,4721.023999
evap_055,0.55,40,78,4721.023999
evap_055,0.55,40,79,4721.023999
evap_055,0.55,40,80,4721.023999
evap_055,0.55,40,81,4721.023999
evap_055,0.55,40,82,4721.023999
evap_055,0.55,40,83,4721.023999
evap_055,0.55,40,84,4721.023999
evap_055,0.55,40,85,4721.023999
evap_055,0.55,40,86,4721.023999
evap_055,0.55,40,87,4721.023999
evap_055,0.55,40,88,4721.023999
evap_055,0.55,40,89,4721.023999
evap_055,0.55,40,90,4721.023999
evap_055,0.55,40,91,4721.023999
evap_055,0.55,40,92,4721.023999
evap_055,0.55,40,93,4721.023999
evap_055,0.55,40,94,4721.023999
evap_055,0.55,40,95,4721.023999
evap_055,0.55,40,96,4721.023999
evap_055,0.55,40,97,4721.023999
evap_055,0.55,40,98,4721.023999
evap_055,0.55,40,99,4721.023999
evap_055,0.55,40,100,4721.023999
