Ciudad,Bourg-en-Bresse,Laon,Moulins,Digne-les-Bains,Gap,Nice,Privas,Charleville-Mézières,Foix,Troyes,Carcassonne,Rodez,Marseille,Caen,Aurillac,Angoulême,La Rochelle,Bourges,Tulle,Ajaccio,Bastia,Dijon,Saint-Brieuc,Guéret,Périgueux,Besançon,Valence,Évreux,Chartres,Quimper,Nîmes,Toulouse,Auch,Bordeaux,Montpellier,Rennes,Châteauroux,Tours,Grenoble,Lons-le-Saunier,Mont-de-Marsan,Blois,Saint-Étienne,Le Puy-en-Velay,Nantes,Orléans,Cahors,Agen,Mende,Angers,Saint-Lô,Châlons-en-Champagne,Chaumont,Laval,Nancy,Bar-le-Duc,Vannes,Metz,Nevers,Lille,Beauvais,Alençon,Arras,Clermont-Ferrand,Pau,Tarbes,Perpignan,Strasbourg,Colmar,Lyon,Vesoul,Mâcon,Le Mans,Chambéry,Annecy,Paris,Rouen,Melun,Versailles,Niort,Amiens,Albi,Montauban,Toulon,Avignon,La Roche-sur-Yon,Poitiers,Limoges,Épinal,Auxerre,Belfort,Évry-Courcouronnes,Nanterre,Bobigny,Créteil,Cergy
Arras,1,1,1,1,1,1,1,59,1,1,1,1,1,80,1,80,80,1,1,1,1,1,80,1,80,1,1,80,80,80,1,1,80,80,1,80,1,80,1,1,80,1,1,1,80,1,1,80,1,80,80,1,1,80,1,1,80,59,1,59,80,80,-1,1,80,80,1,1,1,1,1,1,80,1,1,1,80,1,80,80,80,1,1,1,1,80,80,1,1,1,1,1,80,1,1,80
Clermont-Ferrand,2,2,2,43,43,43,43,2,14,2,14,14,43,2,14,18,2,2,18,43,43,2,2,2,18,2,42,2,2,2,43,14,14,18,14,2,2,2,42,2,18,2,42,43,2,2,14,18,43,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,14,14,14,2,2,69,2,2,2,69,2,2,2,2,2,2,2,14,14,43,43,2,2,18,2,2,2,2,2,2,2,2
Pau,65,40,65,65,65,65,65,65,65,65,65,65,65,40,65,40,40,40,65,65,65,65,40,40,65,65,65,40,40,40,65,65,65,40,65,40,40,40,65,65,40,40,65,65,40,40,65,65,65,40,40,65,65,40,65,65,40,65,65,40,40,40,40,65,-1,65,65,65,65,65,65,65,40,65,65,40,40,40,40,40,40,65,65,65,65,40,40,40,65,65,65,40,40,40,40,40
Tarbes,32,32,32,31,31,31,32,32,8,32,31,32,31,32,32,32,32,32,32,31,31,32,32,32,32,32,32,32,32,32,31,31,32,32,31,32,32,32,32,32,64,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,64,-1,31,32,32,32,32,32,32,32,32,32,32,32,32,32,32,31,32,31,31,32,32,32,32,32,32,32,32,32,32,32
Perpignan,34,34,34,34,34,34,34,34,8,34,10,34,34,34,34,10,10,34,34,34,34,34,34,34,10,34,34,34,34,10,34,10,10,10,34,34,34,34,34,34,10,34,34,34,10,34,10,10,34,34,34,34,34,34,34,34,10,34,34,34,34,34,34,34,10,10,-1,34,34,34,34,34,34,34,34,34,34,34,34,10,34,10,10,34,34,10,34,34,34,34,34,34,34,34,34,34
Strasbourg,68,54,68,68,68,68,68,57,68,54,68,68,68,54,68,68,54,54,68,68,68,68,54,68,68,68,68,54,54,54,68,68,68,68,68,54,54,54,68,68,68,54,68,68,54,54,68,68,68,54,54,54,88,54,54,54,54,57,68,57,54,54,54,68,68,68,68,-1,68,68,68,68,54,68,68,54,54,54,54,54,54,68,68,68,68,54,54,68,88,54,68,54,54,54,54,54
Colmar,90,88,90,90,90,90,90,67,90,88,90,90,90,88,90,90,90,90,90,90,90,90,88,90,90,90,90,88,88,88,90,90,90,90,90,88,90,90,90,90,90,90,90,90,90,90,90,90,90,90,88,88,90,90,88,88,90,67,90,67,88,88,88,90,90,90,90,67,-1,90,90,90,88,90,90,88,88,88,88,90,88,90,90,90,90,90,90,90,88,90,90,88,88,88,88,88
Lyon,0,71,2,73,73,73,42,71,42,71,42,42,42,2,42,2,2,2,63,73,73,71,2,2,63,71,42,2,2,2,42,42,42,63,42,2,2,2,73,71,42,2,42,42,2,2,42,42,42,2,2,71,71,2,71,71,2,71,2,71,71,2,71,63,42,42,42,71,71,-1,71,71,2,73,73,71,2,71,71,2,71,42,42,42,42,2,2,2,71,71,71,71,71,71,71,71
Vesoul,25,52,25,25,25,25,25,88,25,52,25,25,25,52,25,25,25,21,25,25,25,21,21,25,25,25,25,52,21,21,25,25,25,25,25,21,21,21,25,25,25,21,25,25,21,21,25,25,25,21,52,52,52,21,88,52,21,88,21,88,52,52,52,25,25,25,25,90,90,25,-1,25,21,25,25,21,52,21,21,25,52,25,25,25,25,25,25,25,88,21,90,21,52,52,21,52
Mâcon,0,89,2,69,69,69,69,39,2,89,2,2,69,2,2,2,2,2,2,69,69,39,2,2,2,39,69,2,2,2,69,2,2,2,2,2,2,2,69,39,2,2,69,69,2,2,2,2,69,2,2,39,39,2,39,39,2,39,2,89,89,2,89,2,2,2,2,39,39,69,39,-1,2,69,0,89,2,89,89,2,89,2,2,69,69,2,2,2,39,89,39,89,89,89,89,89
Le Mans,37,61,37,37,37,37,37,61,37,28,37,37,37,61,37,37,49,37,37,37,37,37,53,37,37,37,37,61,28,53,37,37,37,37,37,53,37,37,37,37,37,37,37,37,49,28,37,37,37,49,61,28,28,53,28,28,53,28,37,61,61,61,61,37,37,37,37,28,28,37,37,37,-1,37,37,28,61,28,28,49,61,37,37,37,37,49,37,37,28,28,37,28,28,28,28,61
Chambéry,74,69,69,38,38,38,38,74,38,69,38,69,38,69,69,69,69,69,69,38,38,74,69,69,69,74,38,69,69,69,38,69,69,69,38,69,69,69,38,74,69,69,69,69,69,69,69,69,69,69,69,74,74,69,74,74,69,74,69,69,69,69,69,69,69,69,38,74,74,69,74,69,69,-1,74,69,69,69,69,69,69,69,69,38,38,69,69,69,74,69,74,69,69,69,69,69
Annecy,0,0,0,73,73,73,73,0,73,0,73,73,73,0,73,0,0,0,0,73,73,0,0,0,0,0,73,0,0,0,73,73,73,0,73,0,0,0,73,0,0,0,73,73,0,0,73,73,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,73,73,0,0,73,0,0,0,73,-1,0,0,0,0,0,0,73,73,73,73,0,0,0,0,0,0,0,0,0,0,0
Paris,77,93,77,77,77,77,77,93,77,77,77,77,77,95,77,91,91,91,77,77,77,77,95,91,91,77,77,95,78,95,77,77,77,91,77,95,91,91,77,77,91,91,77,77,78,91,77,91,77,78,95,94,94,78,94,94,95,94,77,93,95,95,93,77,91,77,77,94,94,77,77,77,78,77,77,-1,95,77,78,91,95,77,77,77,77,78,91,91,94,77,94,91,92,93,94,95
Rouen,27,80,27,27,27,27,27,80,13,27,27,27,27,13,27,13,13,27,27,27,27,27,13,27,13,27,27,27,27,13,27,13,13,13,27,13,27,13,27,27,13,27,27,27,13,27,13,13,27,13,13,80,80,13,80,80,13,80,27,80,60,13,80,27,13,13,27,80,80,27,80,27,13,27,27,27,-1,27,27,13,80,27,13,27,27,13,13,13,80,27,80,27,27,27,27,27
Melun,89,1,89,89,89,89,89,1,89,9,89,89,89,75,89,91,91,91,89,89,89,89,75,89,89,89,89,75,91,91,89,89,89,91,89,91,91,91,89,89,91,91,89,89,91,91,89,89,89,91,75,51,9,91,9,9,91,9,89,1,75,75,1,89,91,89,89,9,9,89,89,89,91,89,89,75,75,-1,91,91,75,89,89,89,89,91,91,89,9,89,89,91,75,94,94,75
Versailles,91,92,91,91,91,91,91,92,91,91,91,91,91,95,91,91,28,91,91,91,91,91,28,91,91,91,91,95,28,28,91,91,91,91,91,28,91,91,91,91,91,91,91,91,28,91,91,91,91,28,95,94,94,28,94,94,28,94,91,92,95,95,95,91,91,91,91,94,94,91,91,91,28,91,91,75,95,91,-1,28,95,91,91,91,91,28,91,91,94,91,91,91,92,92,94,95
Niort,86,86,86,15,86,15,86,86,15,86,15,15,15,49,15,15,16,86,15,15,15,86,44,86,15,86,86,49,49,44,15,15,15,15,15,44,86,86,86,86,15,86,86,86,44,86,15,15,15,49,44,86,86,49,86,86,44,86,86,49,49,49,49,86,15,15,15,86,86,86,86,86,49,86,86,86,49,86,49,-1,49,15,15,15,15,85,86,15,86,86,86,86,49,86,86,49
Amiens,1,1,95,95,95,95,95,1,95,95,95,95,95,76,95,76,76,76,95,95,95,1,76,76,76,1,95,76,76,76,95,95,76,76,95,76,76,76,95,1,76,76,95,95,76,76,76,76,95,76,76,1,1,76,1,1,76,1,95,62,60,76,62,95,76,76,95,1,1,95,1,95,76,95,1,95,76,95,95,76,-1,95,76,95,95,76,76,76,1,95,1,95,95,95,95,95
