indice_inicio,indice_destino,ciudad_inicio,ciudad_destino,peso,distancia,tiempo(min),peajes(euros),gasolina(euros),costo_vendedor(euros)
22,56,Saint-Brieuc,Vannes,43.271333,118.0,94.0,0.0,24.44,18.831333
23,36,Guéret,Châteauroux,36.826667,121.0,80.0,0.0,20.8,16.026667
23,63,Guéret,Clermont-Ferrand,63.578,176.0,114.0,11.1,29.64,22.838
23,86,Guéret,Poitiers,61.684667,147.0,134.0,0.0,34.84,26.844667
23,87,Guéret,Limoges,29.461333,90.0,64.0,0.0,16.64,12.821333
24,33,Périgueux,Bordeaux,52.109333,136.0,88.0,11.6,22.88,17.629333
24,46,Périgueux,Cahors,51.557333,171.0,112.0,0.0,29.12,22.437333
24,47,Périgueux,Agen,58.002,136.0,126.0,0.0,32.76,25.242
24,87,Périgueux,Limoges,46.033333,99.0,100.0,0.0,26.0,20.033333
25,39,Besançon,Lons-le-Saunier,35.445667,84.0,77.0,0.0,20.02,15.425667
25,70,Besançon,Vesoul,21.635667,50.0,47.0,0.0,12.22,9.415667
26,38,Valence,Grenoble,38.92,92.0,60.0,11.3,15.6,12.02
26,42,Valence,Saint-Étienne,48.128333,122.0,85.0,9.0,22.1,17.028333
26,84,Valence,Avignon,52.228333,129.0,85.0,13.1,22.1,17.028333
27,28,Évreux,Chartres,35.445667,85.0,77.0,0.0,20.02,15.425667
27,61,Évreux,Alençon,44.652333,115.0,97.0,0.0,25.22,19.432333
27,76,Évreux,Rouen,26.797667,58.0,53.0,2.4,13.78,10.617667
27,95,Évreux,Cergy,36.604333,79.0,73.0,3.0,18.98,14.624333
28,45,Chartres,Orléans,37.783667,81.0,71.0,5.1,18.46,14.223667
28,72,Chartres,Le Mans,51.949,121.0,87.0,11.9,22.62,17.429
28,78,Chartres,Versailles,41.144,86.0,72.0,8.0,18.72,14.424
29,35,Quimper,Rennes,64.446667,214.0,140.0,0.0,36.4,28.046667
29,56,Quimper,Vannes,36.826667,121.0,80.0,0.0,20.8,16.026667
30,34,Nîmes,Montpellier,25.956333,52.0,49.0,3.4,12.74,9.816333
30,48,Nîmes,Mende,69.510333,146.0,151.0,0.0,39.26,30.250333
30,84,Nîmes,Avignon,25.316667,51.0,50.0,2.3,13.0,10.016667
31,32,Toulouse,Auch,30.382,80.0,66.0,0.0,17.16,13.222
31,65,Toulouse,Tarbes,56.854,155.0,102.0,9.9,26.52,20.434
31,81,Toulouse,Albi,27.478667,75.0,56.0,1.7,14.56,11.218667
31,82,Toulouse,Montauban,25.756333,53.0,49.0,3.2,12.74,9.816333
32,40,Auch,Mont-de-Marsan,45.573,104.0,99.0,0.0,25.74,19.833
32,47,Auch,Agen,36.366333,74.0,79.0,0.0,20.54,15.826333
32,65,Auch,Tarbes,35.445667,73.0,77.0,0.0,20.02,15.425667
32,82,Auch,Montauban,39.128333,86.0,85.0,0.0,22.1,17.028333
33,40,Bordeaux,Mont-de-Marsan,60.771333,134.0,94.0,17.5,24.44,18.831333
33,47,Bordeaux,Agen,53.43,140.0,90.0,12.0,23.4,18.03
34,48,Montpellier,Mende,80.088,200.0,144.0,13.8,37.44,28.848
34,66,Montpellier,Perpignan,63.433333,161.0,100.0,17.4,26.0,20.033333
35,44,Rennes,Nantes,40.509333,110.0,88.0,0.0,22.88,17.629333
35,49,Rennes,Angers,45.112667,132.0,98.0,0.0,25.48,19.632667
35,50,Rennes,Saint-Lô,43.271333,152.0,94.0,0.0,24.44,18.831333
35,53,Rennes,Laval,32.582,82.0,66.0,2.2,17.16,13.222
