indice_inicio,indice_destino,ciudad_inicio,ciudad_destino,distancia,tiempo(min),peajes(euros),gasolina(euros),
9,55,Troyes,Bar-le-Duc,103,66,7.1,17.16,
9,77,Troyes,Melun,124,82,9.2,21.32,
9,89,Troyes,Auxerre,76,85,0,22.1,
10,31,Carcassonne,Toulouse,95,66,9.3,17.16,
10,34,Carcassonne,Montpellier,157,101,17.3,26.26,
10,66,Carcassonne,Perpignan,114,73,11.9,18.98,
10,81,Carcassonne,Albi,114,73,11.9,18.98,
11,14,Rodez,Aurillac,72,55,0,14.3,
11,34,Rodez,Montpellier,103,103,0,26.78,
11,46,Rodez,Cahors,103,103,0,26.78,
11,48,Rodez,Mende,108,90,0,23.4,
11,81,Rodez,Albi,108,90,0,23.4,
11,82,Rodez,Montauban,150,111,0,28.86,
12,30,Marseille,Nîmes,150,111,0,28.86,
12,83,Marseille,Toulon,150,111,0,28.86,
12,84,Marseille,Avignon,64,55,5.2,14.3,
13,27,Caen,Évreux,155,97,12.9,25.22,
13,50,Caen,Saint-Lô,75,55,0,14.3,
13,61,Caen,Alençon,75,55,0,14.3,
13,76,Caen,Rouen,75,55,0,14.3,
14,18,Aurillac,Tulle,83,78,0,20.28,
14,43,Aurillac,Le Puy-en-Velay,172,155,0,40.3,
14,46,Aurillac,Cahors,136,132,0,34.32,
14,48,Aurillac,Mende,151,132,0,34.32,
14,63,Aurillac,Clermont-Ferrand,171,147,0,38.22,
15,16,Angoulême,La Rochelle,155,119,4.6,30.94,
15,24,Angoulême,Périgueux,87,87,0,22.62,
15,33,Angoulême,Bordeaux,123,96,0,24.96,
15,79,Angoulême,Niort,119,98,0,25.48,
15,86,Angoulême,Poitiers,116,88,0,22.88,
15,87,Angoulême,Limoges,109,85,0,22.1,
16,33,La Rochelle,Bordeaux,189,122,18.5,31.72,
16,79,La Rochelle,Niort,66,56,0,14.56,
16,85,La Rochelle,La Roche-sur-Yon,85,82,1.1,21.32,
17,23,Bourges,Guéret,173,110,8.8,28.6,
17,36,Bourges,Châteauroux,102,72,3.2,18.72,
17,37,Bourges,Tours,166,107,16.7,27.82,
17,41,Bourges,Blois,116,93,6.7,24.18,
17,45,Bourges,Orléans,116,93,6.7,24.18,
17,58,Bourges,Nevers,67,74,0,19.24,
17,89,Bourges,Auxerre,144,135,4.2,35.1,
18,23,Tulle,Guéret,174,114,0,29.64,
18,24,Tulle,Périgueux,108,80,8.6,20.8,
18,63,Tulle,Clermont-Ferrand,144,103,12.3,26.78,
18,87,Tulle,Limoges,90,66,0,17.16,
19,20,Ajaccio,Bastia,150,163,0,42.38,
19,83,Ajaccio,Toulon,696,704,22,183.04,
20,83,Bastia,Toulon,548,544,22,141.44,
21,25,Dijon,Besançon,98,73,8,18.98,
21,39,Dijon,Lons-le-Saunier,98,68,6.7,17.68,
21,52,Dijon,Chaumont,109,72,7.9,18.72,
21,58,Dijon,Nevers,182,171,0,44.46,
21,70,Dijon,Vesoul,136,93,8,24.18,
21,89,Dijon,Auxerre,151,103,10,26.78,
22,29,Saint-Brieuc,Quimper,154,108,0,28.08,
22,35,Saint-Brieuc,Rennes,98,67,0,17.42,
22,50,Saint-Brieuc,Saint-Lô,196,122,0,31.72,
22,56,Saint-Brieuc,Vannes,118,94,0,24.44,
23,36,Guéret,Châteauroux,121,80,0,20.8,
23,63,Guéret,Clermont-Ferrand,176,114,11.1,29.64,
23,86,Guéret,Poitiers,147,134,0,34.84,
23,87,Guéret,Limoges,90,64,0,16.64,
24,33,Périgueux,Bordeaux,136,88,11.6,22.88,
24,46,Périgueux,Cahors,171,112,0,29.12,
24,47,Périgueux,Agen,136,126,0,32.76,
24,87,Périgueux,Limoges,99,100,0,26,
25,39,Besançon,Lons-le-Saunier,84,77,0,20.02,
25,70,Besançon,Vesoul,50,47,0,12.22,
26,38,Valence,Grenoble,92,60,11.3,15.6,
26,42,Valence,Saint-Étienne,122,85,9,22.1,
26,84,Valence,Avignon,129,85,13.1,22.1,
27,28,Évreux,Chartres,85,77,0,20.02,
27,61,Évreux,Alençon,115,97,0,25.22,
27,76,Évreux,Rouen,58,53,2.4,13.78,
27,95,Évreux,Cergy,79,73,3,18.98,
28,45,Chartres,Orléans,81,71,5.1,18.46,
28,72,Chartres,Le Mans,121,87,11.9,22.62,
28,78,Chartres,Versailles,86,72,8,18.72,
29,35,Quimper,Rennes,214,140,0,36.4,
29,56,Quimper,Vannes,121,80,0,20.8,
30,34,Nîmes,Montpellier,52,49,3.4,12.74,
30,48,Nîmes,Mende,146,151,0,39.26,
30,84,Nîmes,Avignon,51,50,2.3,13,
31,32,Toulouse,Auch,80,66,0,17.16,
31,65,Toulouse,Tarbes,155,102,9.9,26.52,
31,81,Toulouse,Albi,75,56,1.7,14.56,
31,82,Toulouse,Montauban,53,49,3.2,12.74,
